

             pestpp-swp - a parameteric sweep utility, version 4.2.9
                     for PEST(++) datasets 

                 by the PEST++ development team



using control file: "10par_xsec.pst"

Note: 3 unused lines in pest control file, see rec file...

             Generalized Run Manager Interface
                             by:

               The PEST++ Development Team


          starting PANTHER master...

IP addresses:
  0.0.0.0:4005 (IPv4)

PANTHER master listening on socket: 0.0.0.0:4005 (IPv4)
reading par values...done
starting runs 0 --> 500
    running model 500 times

      waiting for slaves to appear...


PANTHER progress
   runs(C = completed | F = failed | T = timed out)
   slaves(R = running | W = waiting | U = unavailable)
------------------------------------------------------------------------------
08/31 12:00:20 runs(C=10   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=10   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=10   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:20 runs(C=10   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:20 runs(C=11   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=11   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=11   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:20 runs(C=11   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:20 runs(C=13   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:20 runs(C=13   | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:20 runs(C=13   | F=0    | T=0    ): slaves(R=6   | W=2   | U=0   )
08/31 12:00:20 runs(C=13   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:20 runs(C=14   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=14   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=14   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:20 runs(C=14   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:20 runs(C=15   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=15   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=15   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:20 runs(C=15   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:21 runs(C=16   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:21 runs(C=16   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:21 runs(C=16   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:21 runs(C=16   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:22 runs(C=16   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:22 runs(C=16   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=17   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=17   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=17   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=17   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=18   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=18   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=18   | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:23 runs(C=18   | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:23 runs(C=19   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:23 runs(C=19   | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
